,tig1,tig1len,tig1_freq,dir2,tig2,tig2len,tig2_freq,dir2,n_barcodes
220,tig00001913_pilon_pilon,106527,19,f,tig00007653_pilon_pilon,30674465,33,f,1
221,tig00007653_pilon_pilon,30674465,33,r,tig00001913_pilon_pilon,106527,19,r,1
222,tig00001913_pilon_pilon,106527,19,f,tig00000302_pilon_pilon,105171,15,r,1
223,tig00000302_pilon_pilon,105171,15,f,tig00001913_pilon_pilon,106527,19,r,1
224,tig00001913_pilon_pilon,106527,19,f,tig00000408_pilon_pilon,72089,31,r,1
225,tig00000408_pilon_pilon,72089,31,f,tig00001913_pilon_pilon,106527,19,r,1
226,tig00001913_pilon_pilon,106527,19,f,tig00000586_pilon_pilon,87615,25,f,1
227,tig00000586_pilon_pilon,87615,25,r,tig00001913_pilon_pilon,106527,19,r,1
228,tig00001913_pilon_pilon,106527,19,r,tig00000815_pilon_pilon,68267,23,f,1
229,tig00000815_pilon_pilon,68267,23,r,tig00001913_pilon_pilon,106527,19,f,1
230,tig00001913_pilon_pilon,106527,19,f,tig00000980_pilon_pilon,60318,17,f,1
231,tig00000980_pilon_pilon,60318,17,r,tig00001913_pilon_pilon,106527,19,r,1
232,tig00001913_pilon_pilon,106527,19,f,tig00001663_pilon_pilon,2797548,27,r,1
233,tig00001663_pilon_pilon,2797548,27,f,tig00001913_pilon_pilon,106527,19,r,1
234,tig00001918_pilon_pilon,82182,27,r,tig00001940_pilon_pilon,107479,67,f,1
235,tig00001940_pilon_pilon,107479,67,r,tig00001918_pilon_pilon,82182,27,f,1
236,tig00001918_pilon_pilon,82182,27,r,tig00001945_pilon_pilon,90088,15,r,1
237,tig00001945_pilon_pilon,90088,15,f,tig00001918_pilon_pilon,82182,27,f,1
238,tig00001918_pilon_pilon,82182,27,r,tig00002050_pilon_pilon,121048,47,f,1
239,tig00002050_pilon_pilon,121048,47,r,tig00001918_pilon_pilon,82182,27,f,1
240,tig00001918_pilon_pilon,82182,27,r,tig00002537_pilon_pilon,343035,31,r,1
241,tig00002537_pilon_pilon,343035,31,f,tig00001918_pilon_pilon,82182,27,f,1
242,tig00001918_pilon_pilon,82182,27,f,tig00002695_pilon_pilon,235620,23,r,1
243,tig00002695_pilon_pilon,235620,23,f,tig00001918_pilon_pilon,82182,27,r,1
244,tig00001918_pilon_pilon,82182,27,r,tig00002733_pilon_pilon,276116,25,r,1
245,tig00002733_pilon_pilon,276116,25,f,tig00001918_pilon_pilon,82182,27,f,1
246,tig00001918_pilon_pilon,82182,27,r,tig00000244_pilon_pilon,59286,23,r,1
247,tig00000244_pilon_pilon,59286,23,f,tig00001918_pilon_pilon,82182,27,f,1
248,tig00001918_pilon_pilon,82182,27,r,tig00007589_pilon_pilon,27791878,63,f,1
249,tig00007589_pilon_pilon,27791878,63,r,tig00001918_pilon_pilon,82182,27,f,1
250,tig00001918_pilon_pilon,82182,27,r,tig00000629_pilon_pilon,82704,29,r,1
251,tig00000629_pilon_pilon,82704,29,f,tig00001918_pilon_pilon,82182,27,f,1
252,tig00001918_pilon_pilon,82182,27,r,tig00000065_pilon_pilon,93623,35,f,1
253,tig00000065_pilon_pilon,93623,35,r,tig00001918_pilon_pilon,82182,27,f,1
254,tig00001918_pilon_pilon,82182,27,r,tig00001340_pilon_pilon,76709,33,f,1
255,tig00001340_pilon_pilon,76709,33,r,tig00001918_pilon_pilon,82182,27,f,1
256,tig00001918_pilon_pilon,82182,27,r,tig00001426_pilon_pilon,88471,5,f,1
257,tig00001426_pilon_pilon,88471,5,r,tig00001918_pilon_pilon,82182,27,f,1
258,tig00001918_pilon_pilon,82182,27,r,tig00001445_pilon_pilon,4547348,49,f,1
259,tig00001445_pilon_pilon,4547348,49,r,tig00001918_pilon_pilon,82182,27,f,1
260,tig00001918_pilon_pilon,82182,27,f,tig00001492_pilon_pilon,58150,13,r,1
261,tig00001492_pilon_pilon,58150,13,f,tig00001918_pilon_pilon,82182,27,r,1
262,tig00001927_pilon_pilon,25840,7,f,tig00000339_pilon_pilon,66707,31,r,1
263,tig00000339_pilon_pilon,66707,31,f,tig00001927_pilon_pilon,25840,7,r,1
264,tig00001927_pilon_pilon,25840,7,f,tig00000592_pilon_pilon,76834,13,f,1
265,tig00000592_pilon_pilon,76834,13,r,tig00001927_pilon_pilon,25840,7,r,1
266,tig00001927_pilon_pilon,25840,7,r,tig00001261_pilon_pilon,99330,31,r,1
267,tig00001261_pilon_pilon,99330,31,f,tig00001927_pilon_pilon,25840,7,f,1
268,tig00001927_pilon_pilon,25840,7,f,tig00000137_pilon_pilon,69340,19,r,1
269,tig00000137_pilon_pilon,69340,19,f,tig00001927_pilon_pilon,25840,7,r,1
270,tig00001929_pilon_pilon,59722,11,f,tig00000238_pilon_pilon,65155,11,r,1
271,tig00000238_pilon_pilon,65155,11,f,tig00001929_pilon_pilon,59722,11,r,1
272,tig00001929_pilon_pilon,59722,11,f,tig00007711_pilon_pilon,11524429,15,r,1
273,tig00007711_pilon_pilon,11524429,15,f,tig00001929_pilon_pilon,59722,11,r,1
274,tig00001929_pilon_pilon,59722,11,f,tig00000065_pilon_pilon,93623,35,r,1
275,tig00000065_pilon_pilon,93623,35,f,tig00001929_pilon_pilon,59722,11,r,1
276,tig00001929_pilon_pilon,59722,11,f,tig00001208_pilon_pilon,223825,113,f,1
277,tig00001208_pilon_pilon,223825,113,r,tig00001929_pilon_pilon,59722,11,r,1
278,tig00001929_pilon_pilon,59722,11,f,tig00001362_pilon_pilon,4730218,17,r,1
279,tig00001362_pilon_pilon,4730218,17,f,tig00001929_pilon_pilon,59722,11,r,1
280,tig00001929_pilon_pilon,59722,11,f,tig00001420_pilon_pilon,4220570,45,r,1
281,tig00001420_pilon_pilon,4220570,45,f,tig00001929_pilon_pilon,59722,11,r,1
282,tig00001934_pilon_pilon,68982,13,f,tig00002061_pilon_pilon,946188,53,f,1
283,tig00002061_pilon_pilon,946188,53,r,tig00001934_pilon_pilon,68982,13,r,1
284,tig00001934_pilon_pilon,68982,13,f,tig00007708_pilon_pilon,218467,65,f,1
285,tig00007708_pilon_pilon,218467,65,r,tig00001934_pilon_pilon,68982,13,r,1
286,tig00001934_pilon_pilon,68982,13,r,tig00000338_pilon_pilon,66526,15,r,1
287,tig00000338_pilon_pilon,66526,15,f,tig00001934_pilon_pilon,68982,13,f,1
288,tig00001934_pilon_pilon,68982,13,f,tig00000061_pilon_pilon,78607,29,f,1
289,tig00000061_pilon_pilon,78607,29,r,tig00001934_pilon_pilon,68982,13,r,1
290,tig00001934_pilon_pilon,68982,13,r,tig00001106_pilon_pilon,281461,27,r,1
291,tig00001106_pilon_pilon,281461,27,f,tig00001934_pilon_pilon,68982,13,f,1
292,tig00001934_pilon_pilon,68982,13,r,tig00001247_pilon_pilon,61046,27,r,1
293,tig00001247_pilon_pilon,61046,27,f,tig00001934_pilon_pilon,68982,13,f,1
294,tig00001934_pilon_pilon,68982,13,f,tig00001840_pilon_pilon,76877,25,f,1
295,tig00001840_pilon_pilon,76877,25,r,tig00001934_pilon_pilon,68982,13,r,1
